asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
243,4.82807556719e-05,ADM3,243,243,BOL,BOL-ADM3-33444609B75760336,Padilla,ADM3
244,0.0,ADM3,244,244,BOL,BOL-ADM3-33444609B69980236,Mojocoya,ADM3
245,0.0,ADM3,245,245,BOL,BOL-ADM3-33444609B51772236,Pucará,ADM3
246,0.0,ADM3,246,246,BOL,BOL-ADM3-33444609B69127220,Villa Serrano,ADM3
247,0.45413808522,ADM3,247,247,BOL,BOL-ADM3-33444609B12353677,Macharetí,ADM3
248,0.653813918828,ADM3,248,248,BOL,BOL-ADM3-33444609B47604355,Boyuibe,ADM3
249,1.0,ADM3,249,249,BOL,BOL-ADM3-33444609B96934473,Cuevo,ADM3
250,1.0,ADM3,250,250,BOL,BOL-ADM3-33444609B99493244,Camiri,ADM3
251,0.0,ADM3,251,251,BOL,BOL-ADM3-33444609B83608870,Cocapata,ADM3
252,0.173184820578,ADM3,252,252,BOL,BOL-ADM3-33444609B53201147,Vallegrande,ADM3
253,0.904689071886,ADM3,253,253,BOL,BOL-ADM3-33444609B32904525,Gutiérrez,ADM3
254,0.0,ADM3,254,254,BOL,BOL-ADM3-33444609B61390228,Sucre,ADM3
255,0.0,ADM3,255,255,BOL,BOL-ADM3-33444609B90222474,Presto,ADM3
256,0.0,ADM3,256,256,BOL,BOL-ADM3-33444609B25796587,Postrervalle,ADM3
257,0.0,ADM3,257,257,BOL,BOL-ADM3-33444609B52561385,Trigal,ADM3
258,0.0,ADM3,258,258,BOL,BOL-ADM3-33444609B67865308,Quirusillas,ADM3
259,0.764153008176,ADM3,259,259,BOL,BOL-ADM3-33444609B3158247,Cabezas,ADM3
260,0.977826143305,ADM3,260,260,BOL,BOL-ADM3-33444609B36360155,Cotoca,ADM3
261,0.381572810639,ADM3,261,261,BOL,BOL-ADM3-33444609B82294182,Yapacaní,ADM3
262,0.0380908079892,ADM3,262,262,BOL,BOL-ADM3-33444609B81436946,Cuatro Cañadas,ADM3
263,0.0,ADM3,263,263,BOL,BOL-ADM3-33444609B34841445,San Ramón,ADM3
264,0.0,ADM3,264,264,BOL,BOL-ADM3-33444609B57224915,San Javier,ADM3
265,0.0,ADM3,265,265,BOL,BOL-ADM3-33444609B78704867,San Miguel,ADM3
266,0.0,ADM3,266,266,BOL,BOL-ADM3-33444609B25395901,Villa Tunari,ADM3
267,0.0,ADM3,267,267,BOL,BOL-ADM3-33444609B24552917,Chimoré,ADM3
268,0.0,ADM3,268,268,BOL,BOL-ADM3-33444609B18430420,Tiraque,ADM3
269,0.0,ADM3,269,269,BOL,BOL-ADM3-33444609B95602913,Shinahota,ADM3
270,1.0,ADM3,270,270,BOL,BOL-ADM3-33444609B71154134,Montero,ADM3
271,0.0,ADM3,271,271,BOL,BOL-ADM3-33444609B46709169,Ascención de Guarayos,ADM3
