asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
183,10037.5678876,38511.2501568,0.0,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,261947.919727,290756.844325,233855.382651,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,111066.413938,119550.362333,101483.06013,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,220729.980986,248145.325431,196110.852557,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,217530.3129,229620.020162,201873.688559,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,242660.861686,282648.141589,212218.239454,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,223231.164191,255339.621604,189825.941002,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,211019.146445,231438.612891,190358.91,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,332321.893932,364833.556923,302713.167952,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,34129.9013321,63012.2209791,13419.8656708,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,312498.279501,359270.963302,253376.904588,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,248013.973017,304681.338718,188366.557109,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,212950.778435,243530.801037,186039.315787,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,90756.827858,98239.8112258,84329.0081667,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,228946.920825,267859.960822,186327.666519,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,182177.182028,195924.96,166795.721244,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,186183.480585,201306.902454,166912.288102,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,188538.071307,210971.068827,167016.755839,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,168858.872699,183619.970054,154158.24198,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,169203.670729,184827.212552,148265.172141,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,152369.103976,179398.741116,121574.135063,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,147729.179228,170308.459591,122081.806328,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,153783.16293,184533.515404,125809.839054,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,150595.302574,173281.156241,128507.464456,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,7054.61641352,24836.2865651,0.0,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,6944.37901511,33274.5536077,0.0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,141.879521158,10890.9958433,0.0,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,13540.7983785,56511.7125224,0.0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
