,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
241,8.76e-05,0.0,3.18e-05,1.05e-06,6.6e-08,4.6e-08,0.0,1.72e-07,241
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242
243,1.17e-05,0.0,7.22e-06,3.64e-07,2.71e-08,1.29e-08,0.0,5.58e-08,243
244,5.95e-05,0.000441305,2.84e-05,1.53e-06,1.23e-07,6.78e-08,0.0,2.89e-07,244
245,0.000115124,0.000265799,6.23e-05,4.41e-06,3.91e-07,2.23e-07,0.0,8.81e-07,245
246,0.000115124,0.000509491,6.23e-05,4.41e-06,3.91e-07,2.23e-07,0.0,8.81e-07,246
247,6e-05,0.0,2.43e-05,8.77e-07,5.69e-08,3.67e-08,0.0,1.38e-07,247
248,3.2e-05,0.0,1.61e-05,6.67e-07,4.61e-08,2.73e-08,0.0,1.06e-07,248
249,2.53e-05,0.0,1.28e-05,5.38e-07,3.75e-08,2.59e-08,0.0,9.38e-08,249
250,2.74e-05,0.0,8.13e-06,1.87e-07,1.15e-08,7.48e-09,0.0,2.78e-08,250
251,0.00028353,0.001347342,0.000256814,2.48e-05,2.28e-06,2.38e-06,0.0,6.28e-06,251
252,4.27e-05,0.000265799,2.1e-05,1.51e-06,1.26e-07,5.91e-08,0.0,2.58e-07,252
253,7.85e-06,0.0,4.74e-06,1.87e-07,1.25e-08,8.38e-09,0.0,2.92e-08,253
254,5.52e-06,6.26e-05,1.38e-06,1.9e-08,9.29e-10,6.58e-10,0.0,2.75e-09,254
255,1.26e-05,0.000120886,4.07e-06,9.22e-08,5.6e-09,3.73e-09,0.0,1.5e-08,255
256,8.39e-06,0.0,5.47e-06,2.06e-07,1.43e-08,7.31e-09,0.0,3.07e-08,256
257,1.74e-06,0.0,9.56e-07,1.79e-08,8.72e-10,6.24e-10,0.0,2.69e-09,257
258,2.13e-06,0.0,1.76e-06,5.32e-08,2.74e-09,2e-09,0.0,7.45e-09,258
259,2.75e-05,0.0,3.77e-05,2.56e-06,1.67e-07,1.28e-07,0.0,4.68e-07,259
260,2.44e-05,0.0,3.61e-05,2.41e-06,1.59e-07,1.28e-07,0.0,4.25e-07,260
261,0.023055557,0.014820534,0.081447244,0.077446461,0.013311959,0.012443392,0.0,0.037888572,261
262,6.92e-05,0.0,6.62e-05,4.68e-06,3.18e-07,2.63e-07,0.0,8.98e-07,262
263,4e-05,0.0,3.48e-05,1.68e-06,8.59e-08,7.39e-08,0.0,2.52e-07,263
264,9.81e-05,0.0,8.91e-05,5.28e-06,2.74e-07,2.44e-07,0.0,8.5e-07,264
265,0.000121761,0.0,0.000109676,7.04e-06,3.81e-07,3.32e-07,0.0,1.15e-06,265
266,0.008946904,0.033963971,0.018653428,0.007433389,0.000984968,0.000883987,0.0,0.002787551,266
267,0.004925123,0.021623541,0.010001435,0.00320164,0.000375924,0.000355632,0.0,0.001101198,267
268,0.000273325,0.00159122,0.000276154,3.67e-05,3.41e-06,2.29e-06,0.0,7.86e-06,268
269,0.000452816,0.003010195,0.000674621,8.41e-05,7.27e-06,6.44e-06,0.0,2.01e-05,269
270,4.44e-05,0.0,2.91e-05,1.62e-06,1.62e-07,9.37e-08,0.0,4.24e-07,270
271,0.00206191,0.010931641,0.005578197,0.002487136,0.000255747,0.000244894,0.0,0.000822824,271
272,0.056071032,0.142880365,0.135782689,0.126374111,0.02871553,0.026326399,0.0,0.075965792,272
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273
274,8.44e-07,2.38e-05,9.33e-07,1.92e-08,9.2e-10,6.64e-10,0.0,2.66e-09,274
275,7.86e-05,0.0,9e-05,7.43e-06,5.08e-07,4.43e-07,0.0,1.42e-06,275
276,7.86e-05,0.0,9.55e-05,9.15e-06,6.19e-07,5.42e-07,0.0,1.76e-06,276
277,7.35e-05,0.0,0.000105438,9.15e-06,6.19e-07,5.42e-07,0.0,1.76e-06,277
278,0.000186602,0.0,0.000183114,1.44e-05,9.48e-07,7.45e-07,0.0,2.86e-06,278
279,0.000131567,0.0,0.000173086,1.74e-05,1.22e-06,1.09e-06,0.0,3.57e-06,279
280,0.000131567,0.0,0.000155451,1.43e-05,9.83e-07,8.54e-07,0.0,2.89e-06,280
281,6.02e-06,0.0,5.45e-06,2.27e-07,1.27e-08,8.1e-09,0.0,2.99e-08,281
282,4.79e-06,0.0,4.14e-06,2.17e-07,1.44e-08,7.46e-09,0.0,3.06e-08,282
